training_loss, training_acc, val_loss, val_acc
0.69315, 0.14286, 0.60334, 1.00000
0.61796, 0.85714, 0.60233, 1.00000
4.51952, 0.57143, 0.58717, 1.00000
0.59044, 0.85714, 0.56902, 1.00000
0.58390, 0.85714, 0.55401, 1.00000
1.81605, 0.57143, 0.53872, 1.00000
1.50391, 0.85714, 0.53038, 1.00000
1.08114, 0.71429, 0.52093, 1.00000
0.66577, 0.85714, 0.51224, 1.00000
0.53155, 0.85714, 0.50255, 1.00000
1.42090, 0.85714, 0.49901, 1.00000
1.17865, 0.71429, 0.49374, 1.00000
0.63837, 0.85714, 0.48909, 1.00000
0.64995, 0.85714, 0.48444, 1.00000
2.41526, 0.85714, 0.48173, 1.00000
0.64385, 0.85714, 0.47886, 1.00000
0.64086, 0.85714, 0.47587, 1.00000
1.51056, 0.85714, 0.47530, 1.00000
0.63501, 0.85714, 0.47445, 1.00000
0.54556, 0.85714, 0.47342, 1.00000
0.59473, 0.85714, 0.47207, 1.00000
0.62652, 0.85714, 0.47051, 1.00000
0.53415, 0.85714, 0.46804, 1.00000
1.21106, 0.71429, 0.46272, 1.00000
0.53633, 0.85714, 0.45630, 1.00000
0.50593, 0.85714, 0.44940, 1.00000
0.57146, 0.85714, 0.44227, 1.00000
0.55625, 0.85714, 0.43424, 1.00000
0.60753, 0.85714, 0.42654, 1.00000
0.52407, 0.85714, 0.41924, 1.00000
3.64202, 0.57143, 0.40950, 1.00000
0.42332, 1.00000, 0.40038, 1.00000
0.59713, 0.85714, 0.39191, 1.00000
0.59453, 0.85714, 0.38402, 1.00000
0.41208, 1.00000, 0.37711, 1.00000
0.52043, 0.85714, 0.37014, 1.00000
0.47493, 0.85714, 0.36298, 1.00000
0.77562, 0.85714, 0.35759, 1.00000
2.82769, 0.57143, 0.35490, 1.00000
0.51919, 0.85714, 0.35198, 1.00000
0.39377, 0.85714, 0.34850, 1.00000
0.38725, 0.85714, 0.34458, 1.00000
0.85452, 0.71429, 0.33821, 1.00000
1.11730, 0.71429, 0.33053, 1.00000
0.49640, 0.85714, 0.32352, 1.00000
0.49738, 0.85714, 0.31704, 1.00000
0.51054, 0.85714, 0.31047, 1.00000
0.56242, 0.85714, 0.30444, 1.00000
0.56038, 0.85714, 0.29888, 1.00000
0.85846, 0.85714, 0.29664, 1.00000
0.55637, 0.85714, 0.29447, 1.00000
0.44512, 0.85714, 0.29218, 1.00000
0.28360, 0.85714, 0.28986, 1.00000
0.55074, 0.85714, 0.28762, 1.00000
